500
-92,0.82
-26,0.25
52,0.26
70,0.53
-31,0.91
27,0.13
67,0.03
93,0.68
35,0.17
18,0.85
30,0.26
17,0.53
-62,0.43
-93,0.79
-32,0.59
78,0.97
-87,0.59
88,0.03
21,0.15
-46,0.94
73,0.93
13,0.51
-26,0.07
-14,0.4
-26,0.33
-19,0.22
-39,0.89
-40,0.38
-57,0.39
-90,0.52
59,0.61
0,0.29
-74,0.83
-8,0.33
-60,0.78
45,0.91
56,0.45
-29,0.93
-96,0.41
31,0.35
37,0.89
30,0.75
82,0.87
7,0.18
-42,0.24
-94,0.5
-89,0.46
-93,0.38
66,0.11
-4,0.9
-2,0.16
-66,0.61
97,0.06
54,0.79
-63,0.12
52,0.49
-26,0.04
-16,0.73
8,0.46
-22,0.57
-19,0.56
4,0.21
58,0.8
1,0.64
50,0.66
32,0.59
-83,0.63
70,0.35
22,0.34
-98,0.52
85,0.05
-23,0.11
-23,0.0
51,0.21
29,0.27
-20,0.85
-56,0.73
50,0.02
-74,0.01
-54,0.14
-19,0.11
-11,0.77
-9,0.64
13,0.99
45,0.38
71,0.34
-91,0.87
-55,0.38
0,0.42
98,0.73
-10,0.85
45,0.23
-2,0.51
-19,0.1
-62,0.69
64,0.11
-95,0.44
-87,0.62
62,0.82
15,0.34
60,0.6
56,0.37
-64,0.43
71,0.27
-26,0.55
36,0.13
-62,0.58
-99,0.33
-84,0.53
-2,0.62
76,0.17
20,0.57
-66,0.35
-17,0.25
29,0.64
-12,0.5
-58,0.38
34,0.63
-18,0.25
-40,0.24
2,0.54
37,0.68
12,0.96
24,0.91
85,0.13
-22,0.27
-100,0.58
61,0.91
97,0.48
-50,0.03
75,0.11
-77,0.8
-53,0.37
23,0.59
-51,0.04
13,0.35
97,0.81
-83,0.57
66,0.98
-15,0.87
71,0.32
-19,0.86
8,0.67
34,0.25
-44,0.0
68,0.42
27,0.7
-45,0.48
4,0.54
19,0.38
-12,0.79
-70,0.17
78,0.49
-7,0.88
29,0.95
-83,0.78
-54,0.15
51,0.27
-19,0.62
91,0.14
-74,0.31
90,0.73
53,0.79
-53,0.16
40,0.34
46,0.05
-44,0.07
-38,0.06
59,0.65
-65,0.11
76,0.74
-91,0.83
-9,0.55
95,0.84
89,0.78
83,0.8
-75,0.05
-89,0.85
-70,0.44
55,0.38
-16,0.09
79,0.98
-22,0.35
-65,0.87
80,0.19
-65,0.2
-87,0.45
41,0.51
36,0.05
-15,0.35
41,0.89
21,0.99
-50,0.74
-20,0.76
-13,0.2
89,0.31
22,0.26
69,0.28
-61,0.88
20,0.92
-63,0.01
-36,0.47
-12,0.58
31,0.75
8,0.07
5,0.21
-74,0.7
-20,0.54
-7,0.43
-20,0.89
23,0.1
-77,0.71
50,0.23
88,0.36
-19,0.9
62,0.99
-22,0.62
66,0.43
-93,0.41
-32,0.06
82,0.56
75,0.71
-78,0.52
99,0.04
34,0.12
